"treeID","Z","TreeSpecies","coords.x1","coords.x2","DBH","Biomass"
13231,11.65,2,294398.875,6808254.375,17.9787453959405,96.1834297868202
13232,6.01,2,294542.375,6808254.375,8.62832003477897,13.8950212337006
13233,8.85,2,294629.875,6808254.375,12.8384023780763,39.5708327310272
13234,4.6,2,294688.625,6808254.375,6.72150207592083,7.42358086947921
13235,7.21,2,294845.375,6808254.375,10.3230602572114,22.1862347223558
13236,7.35,2,295036.875,6808254.375,10.5276024161134,23.3652334498593
13237,13.95,2,293650.125,6808254.125,23.4603530443174,188.535026150991
13238,10.67,2,293774.375,6808254.125,16.0274419402814,71.2432494887792
13239,9.54,1,293806.875,6808254.125,11.6174616634522,41.4235070963004
13240,20.35,1,293955.375,6808254.125,31.6935814112208,489.919498747697
13241,20.22,1,294106.625,6808254.125,31.3099362442323,476.488225570684
13242,16.25,2,294337.125,6808254.125,30.8167884321892,358.509330327045
13243,9.41,2,294361.125,6808254.125,13.7679270840278,47.656220819323
13244,11.14,2,294375.375,6808254.125,16.9396467276187,82.3729628927889
13245,12.46,2,294390.375,6808254.125,19.7475693774982,122.449336618722
13246,5.75,2,294459.875,6808254.125,8.27216908720096,12.4702357769526
13247,6.43,2,294550.125,6808254.125,9.21090015450928,16.4566258817977
13248,7.04,3,294772.125,6808254.125,8.88910630477392,15.7727415335706
13249,19.92,1,294017.875,6808253.875,30.4464028194517,446.854677027677
13250,5.55,2,294457.125,6808253.875,8.00012833827639,11.4516159735289
13251,2.72,2,293689.875,6808253.625,4.09491567275295,2.47124116145265
13252,10.38,2,293713.625,6808253.625,15.4845876837349,65.0607423268202
13253,3.96,1,293847.875,6808253.625,5.30558188223466,7.06796464888755
13254,19.41,1,294023.625,6808253.625,29.0443397300668,400.559412587508
13255,16.56,1,294125.625,6808253.625,22.453415049938,215.810242431094
13256,12.2,1,294146.125,6808253.625,15.1152351440101,80.0564178421397
13257,13.1,1,294282.625,6808253.625,16.4366577371839,98.9157351130356
13258,2.23,3,294604.375,6808253.625,2.5311396636771,0.90407681444181
13259,6.65,3,293605.875,6808253.375,8.29634796317242,13.1293590183876
13260,9.1,3,293622.625,6808253.375,12.5650071317785,39.7346214969131
13261,15.54,1,293683.125,6808253.375,20.4975361915916,172.212585378586
13262,4.5,1,293893.375,6808253.375,5.9173099980928,8.80326972310067
13263,15.58,1,293926.625,6808253.375,20.5709992759268,173.753211188943
13264,6.6,1,294048.375,6808253.375,8.22852860822544,18.1180065343907
13265,21.39,1,294094.625,6808253.375,34.9885078925563,611.64705187731
13266,23.19,1,294110.875,6808253.375,41.8515807583468,896.965909985551
13267,10.92,2,294473.625,6808253.375,16.5074906079033,76.9843672501775
13268,4.42,3,294614.625,6808253.375,5.29619571713057,4.17740009604263
13269,11.11,3,295010.625,6808253.375,17.5171437790898,93.7084940188525
13270,7.48,3,293735.625,6808253.125,9.59136064832557,19.3237719269311
13271,8.96,1,293810.875,6808253.125,10.9185954412743,35.5571219765308
13272,19.68,1,293961.875,6808253.125,29.7765996322452,424.452609683966
13273,20.64,1,294119.875,6808253.125,32.5709307514607,521.234607175542
13274,4.69,2,294249.125,6808253.125,6.84223913895278,7.75307316484469
13275,11.07,2,294478.875,6808253.125,16.8011303227272,80.6230568634383
13276,13.13,3,293767.625,6808252.875,25.0331889287828,217.788512974714
13277,10.91,1,293788.125,6808252.875,13.3516532911999,58.5863958100118
13278,9.94,1,293829.125,6808252.875,12.1108949054799,45.9221722682873
13279,2.41,1,295062.875,6808252.875,3.34703833377929,3.17777097791129
13280,20.83,1,293949.125,6808252.625,33.1624941809529,542.809422505405
